,source_id
0,63449521800719488
1,63502259702709888
2,63507860340462208
3,63527827643105408
4,65588484235454592
5,65589137070475264
6,65603946117575936
7,65605354866829184
8,63547270960574336
9,63547378335443200
10,65626623544976768
11,65635522717170944
12,63585036608738048
13,63589743893287936
14,65643184938861312
15,63627264728628224
16,65671634801986048
17,65673593307063552
18,63632178171114624
19,65674383581036800
20,65677372878285312
21,65677506019076224
22,65680499614460800
23,65688539793220480
24,63661521387693824
25,65699569269925888
26,65701527774387840
27,65707673870040832
28,63677326867342464
29,65717814290369920
30,65719463557799424
31,65720734868130816
32,63693785181958912
33,63705433133130368
34,65732447241199744
35,69250235911393408
36,63717665199974016
37,65750627840192256
38,67278158729741696
39,65768151306811904
40,69294010218010240
41,69294319455655808
42,65772789871345024
43,65775195052996608
44,67304959325424768
45,65779971056668032
46,65781345446197504
47,65783029073414144
48,65787289680918528
49,63773774653147904
50,65800930496992512
51,63786625195137664
52,65807218329068544
53,63795455648004608
54,65814979333012352
55,65819965792011904
56,65823676643738368
57,69351219182301184
58,65830548591559936
59,67352066526730240
60,63824901943723392
61,63826070174824192
62,63826448131945984
63,65844361206181376
64,67368353043627648
65,67368834079044224
66,67368868438779392
67,67369658709673344
68,67373094686549632
69,63849572235829248
70,67381787700522240
71,65864427293364864
72,69400010010608768
73,63876402894075904
74,69409424578948608
75,63884584809145600
76,63889085934846208
77,63892006512622848
78,63916431989200256
79,63923205154013312
80,63940208928422656
81,63953819680971008
82,65945997312877952
83,69486733990130048
84,63989691247627776
85,58259414601023744
86,63995562466405760
87,63999999169130112
88,64006905476619776
89,64007244778181248
90,64021714523841280
91,64024081049308800
92,64027143362491008
93,64032503481665280
94,64050645425295872
95,69575313395795584
96,61554650949438208
97,64057895330132224
98,64059407158605568
99,69583456653826048
100,69585140280997760
101,64064011363520512
102,64066107307543296
103,64078167575681152
104,67540495331120128
105,64092907903452800
106,64094037476647040
107,64095656682494720
108,64103009666497024
109,64104933811828480
110,64109915973846528
111,64114245300877184
112,64117784354039040
113,67576332537157888
114,69651759518208000
115,64128294135554688
116,64129294866302336
117,64131150292139648
118,64136063734692224
119,64148738180119680
120,67618285777617664
121,64157023175179776
122,64163242287720448
123,64168705486089216
124,64174546641593984
125,69704643451409792
126,67667935599570432
127,64215125490886656
128,64232271000313472
129,67724697887107200
130,69763329884321664
131,64250477365329536
132,67732257029618048
133,64259518272776576
134,67756789882795008
135,64272128296706432
136,64276315888567424
137,69806039039416832
138,67799189799869312
139,69807963184755840
140,69811364798863744
141,69811639676769536
142,69811948914407168
143,69812945346809344
144,69812945346809600
145,69814388455816960
146,69819027020489088
147,69824249700740736
148,69824730737081600
149,64317998547641344
150,69829541100441600
151,69834282744302208
152,69834759483788928
153,69834866859848192
154,64331123967672448
155,69837134602589952
